Hour,Energy Needed,Solar Energy Generated,Hourly Electricity Purchase (MWh),Energy Cost at Hour,Electrolyser Usage,Hydrogen Needed,Hourly Hydrogen Purchase (kg),Hydrogen Cost at Hour,Total Cost at Hour,Total Cost ($)
23,0.5705690284,0.0,1.0705690284,23.77,1.0,17.56014834,0.0,10,25.447425805068,11273.422878479703
24,0.4436933638,0.0,0.9436933638,24.02,1.0,13.89371983,0.0,10,22.667514598476,11296.090393078179
25,0.5132155918,0.0,1.0132155917999999,44.07,1.0,37.29865677,0.0,10,44.65241113062599,11340.742804208805
26,0.8406939256,0.0,1.3406939256000001,45.39,1.0,21.94434165,0.0,10,60.85409728298401,11401.596901491788
27,0.1174517514,0.0,1.0,0.0,1.0,2.807680925,0.0,10,0.0,11401.596901491788
28,0.06297984072,0.0,1.0,0.0,1.0,12.00322256,0.0,10,0.0,11401.596901491788
29,0.3038745851,0.0,1.0,0.0,1.0,12.48372975,0.0,10,0.0,11401.596901491788
30,0.2383313131,0.0,0.7383313131,46.55,1.0,3.189553994,0.0,10,34.369322624805,11435.966224116593
31,0.632891047,0.006,1.126891047,46.09,1.0,36.0766302,0.0,10,51.938408356230006,11487.904632472824
32,0.3676099715,0.238,0.6296099715000001,46.05,1.0,16.93962092,0.0,10,28.993539187575003,11516.8981716604
33,0.2289399126,0.626,0.10293991260000002,46.23,1.0,16.02214234,0.0,10,4.758912159498,11521.657083819897
34,0.2568335579,0.976,0.0,61.53,1.0,5.280232407,0.0,10,0.0,11521.657083819897
35,0.2498921635,1.232,-0.0,0.0,1.0,35.94161911,0.0,10,0.0,11521.657083819897
36,0.9441474916,1.39,1.0,0.0,1.0,33.96304499,0.0,10,0.0,11521.657083819897
37,0.6001320923,1.452,-0.0,0.0,1.0,35.65042079,0.0,10,0.0,11521.657083819897
38,0.6290575912,1.422,-0.0,0.0,1.0,41.11593506,0.0,10,0.0,11521.657083819897
39,0.01374184978,1.222,0.0,7.04,1.0,46.23695089,0.0,10,0.0,11521.657083819897
40,0.521540439,0.99,0.03154043900000003,36.99,1.0,38.79773349,0.0,10,1.1666808386100012,11522.823764658508
41,0.9547733056,0.718,0.7367733056,35.23,1.0,4.843105563,0.0,10,25.956523556287998,11548.780288214795
42,0.322260489,0.416,0.406260489,42.35,1.0,48.5047084,0.0,10,17.205131709150002,11565.985419923945
43,0.2613917345,0.104,0.6573917345,42.14,1.0,17.99343059,0.0,10,27.70248769183,11593.687907615775
44,0.7152632212,0.0,1.2152632211999999,43.35,1.0,23.64782365,0.0,10,52.681660639019995,11646.369568254795
45,0.3819447913,0.0,0.8819447913,46.62,1.0,44.26440811,0.0,10,41.116266170406,11687.4858344252
46,0.4349672427,0.0,0.9349672427,46.81,1.0,43.20748033,0.0,10,43.765816630787,11731.251651055987
47,0.9615970648,0.0,1.4615970647999998,47.28,1.0,32.11850166,0.0,10,69.104309223744,11800.35596027973
48,0.1844616858,0.0,0.6844616858,10.41,1.0,24.11642826,0.0,10,7.125246149178,11807.481206428909
49,0.5015535672,0.0,1.0015535672,41.57,1.0,10.49225392,0.0,10,41.634581788504,11849.115788217414
50,0.09706679572,0.0,0.59706679572,7.12,1.0,2.892607663,0.0,10,4.2511155855264,11853.36690380294
51,0.658175223,0.0,1.158175223,11.18,1.0,47.64786039,0.0,10,12.94839899314,11866.31530279608
52,0.1034987737,0.0,1.0,0.0,1.0,44.14379894,0.0,10,0.0,11866.31530279608
53,0.3211922378,0.0,1.0,0.0,1.0,15.57825382,0.0,10,0.0,11866.31530279608
54,0.6890846289,0.0,2.0,0.0,1.0,28.82828805,0.0,10,0.0,11866.31530279608
55,0.01910017912,0.004,0.5151001791200001,11.09,1.0,21.38307564,0.0,10,5.7124609864408,11872.02776378252
56,0.1862128014,0.234,0.4522128014,10.76,1.0,24.64478414,0.0,10,4.865809743063999,11876.893573525584
57,0.07165294277,0.61,0.0,10.57,1.0,5.274714425,0.0,10,0.0,11876.893573525584
58,0.1741196095,0.96,0.0,7.89,1.0,5.236216333,0.0,10,0.0,11876.893573525584
59,0.6357505452,1.226,0.0,7.07,1.0,44.7785598,0.0,10,0.0,11876.893573525584
60,0.3693637856,1.392,-0.0,0.0,1.0,31.65280787,0.0,10,0.0,11876.893573525584
61,0.7791822565,1.464,-0.0,0.0,1.0,22.08987284,0.0,10,0.0,11876.893573525584
62,0.844721818,1.448,-0.0,0.0,1.0,25.88811259,0.0,10,0.0,11876.893573525584
63,0.6394802687,1.338,-0.0,0.0,1.0,33.05255183,0.0,10,0.0,11876.893573525584
64,0.6611581616,1.132,0.029158161600000065,7.05,1.0,21.46697999,0.0,10,0.20556503928000044,11877.099138564863
65,0.7710409419,0.836,1.0,0.0,1.0,31.72515621,0.0,10,0.0,11877.099138564863
66,0.3270265864,0.466,0.36102658639999996,10.88,1.0,33.74741522,0.0,10,3.927969260032,11881.027107824895
67,0.9067829169,0.106,2.0,0.0,1.0,29.67061724,0.0,10,0.0,11881.027107824895
68,0.5914053733,0.0,1.0914053733,11.58,1.0,23.55095297,0.0,10,12.638474222814,11893.66558204771
69,0.5306586696,0.0,1.0306586696,11.19,1.0,7.903276907,0.0,10,11.533070512823999,11905.198652560533
70,0.2557500357,0.0,0.7557500357,7.32,1.0,22.24164355,0.0,10,5.532090261324,11910.730742821857
71,0.1096716427,0.0,0.6096716427,7.38,1.0,6.586484521,0.0,10,4.499376723126,11915.230119544984
72,0.1617748104,0.0,0.6617748104,7.08,1.0,16.74657289,0.0,10,4.6853656576319995,11919.915485202615
