Hour,Energy Needed,Solar Energy Generated,Energy Cost at Hour,Hydrogen Needed,Hydrogen Cost at Hour,Energy Purchased,Hydrogen Purchased,Total Cost at Hour,Total Cost ($),Electrolyser Usage
1,0.2248754337,0.0,22.87,32.30329261,10,0.7248754337,1101.3604153039996,11030.182054208715,11030.182054208715,1.0
2,0.2672795329,0.0,7.09,10.1367553,10,0.7672795329,0.0,5.440011888260999,11035.622066096976,1.0
3,0.8253362103,0.0,7.09,27.00669761,10,1.3253362103000002,0.0,9.396633731027,11045.018699828002,1.0
4,0.5007729742,0.0,7.09,39.84284111,10,1.0007729742,0.0,7.095480387078,11052.11418021508,1.0
5,0.2759563726,0.0,0.0,3.644255073,10,1.0,0.0,0.0,11052.11418021508,1.0
6,0.3711640831,0.0,24.63,15.09505776,10,0.8711640831,0.0,21.456771366753,11073.570951581833,1.0
7,0.2956017818,0.006,24.54,42.9675738,10,0.7896017818000001,0.0,19.376827725372,11092.947779307204,1.0
8,0.6405470174,0.25,22.67,35.24897104,10,0.8905470174,0.0,20.188700884458,11113.136480191662,1.0
9,0.6109089094,0.648,6.96,38.5551099,10,0.46290890939999996,0.0,3.2218460094239996,11116.358326201087,1.0
10,0.05735963466,0.998,6.96,42.90871978,10,0.0,0.0,0.0,11116.358326201087,1.0
11,0.6514785041,1.256,0.0,5.366741364,10,-0.0,0.0,0.0,11116.358326201087,1.0
12,0.3971872634,1.382,0.0,47.1422192,10,-0.0,0.0,0.0,11116.358326201087,1.0
13,0.001022667729,1.416,0.0,4.026536354,10,-0.0,0.0,0.0,11116.358326201087,1.0
14,0.2129325475,1.352,22.2,42.03747334,10,0.0,0.0,0.0,11116.358326201087,1.0
15,0.1525954113,1.192,7.05,16.33787658,10,0.0,0.0,0.0,11116.358326201087,1.0
16,0.5615309256,0.956,23.11,14.19255076,10,0.10553092559999999,0.0,2.4388196906159996,11118.797145891704,1.0
17,0.1018807754,0.672,22.19,21.20413385,10,0.0,0.0,0.0,11118.797145891704,1.0
18,0.2477412876,0.358,24.88,10.65403029,10,0.38974128760000004,0.0,9.696763235488001,11128.493909127192,1.0
19,0.7896282414,0.09,22.76,32.92121041,10,1.1996282414000001,0.0,27.303538774264005,11155.797447901456,1.0
20,0.6386982934,0.0,23.55,32.5887665,10,1.1386982934,0.0,26.81634480957,11182.613792711025,1.0
21,0.9674386161,0.0,23.2,10.93067511,10,1.4674386161,0.0,34.04457589352,11216.658368604545,1.0
22,0.8021656578,0.0,24.05,1.124799235,10,1.3021656578,0.0,31.31708407009,11247.975452674635,1.0
23,0.5705690284,0.0,23.77,17.56014834,10,1.0705690284,0.0,25.447425805068,11273.422878479703,1.0
24,0.4436933638,0.0,24.02,13.89371983,10,0.9436933638,0.0,22.667514598476,11296.090393078179,1.0
25,0.5132155918,0.0,44.07,37.29865677,10,1.0132155917999999,0.0,44.65241113062599,11340.742804208805,1.0
26,0.8406939256,0.0,45.39,21.94434165,10,1.3406939256000001,0.0,60.85409728298401,11401.596901491788,1.0
27,0.1174517514,0.0,0.0,2.807680925,10,1.0,0.0,0.0,11401.596901491788,1.0
28,0.06297984072,0.0,0.0,12.00322256,10,1.0,0.0,0.0,11401.596901491788,1.0
29,0.3038745851,0.0,0.0,12.48372975,10,1.0,0.0,0.0,11401.596901491788,1.0
30,0.2383313131,0.0,46.55,3.189553994,10,0.7383313131,0.0,34.369322624805,11435.966224116593,1.0
31,0.632891047,0.006,46.09,36.0766302,10,1.126891047,0.0,51.938408356230006,11487.904632472824,1.0
32,0.3676099715,0.238,46.05,16.93962092,10,0.6296099715000001,0.0,28.993539187575003,11516.8981716604,1.0
33,0.2289399126,0.626,46.23,16.02214234,10,0.10293991260000002,0.0,4.758912159498,11521.657083819897,1.0
34,0.2568335579,0.976,61.53,5.280232407,10,0.0,0.0,0.0,11521.657083819897,1.0
35,0.2498921635,1.232,0.0,35.94161911,10,-0.0,0.0,0.0,11521.657083819897,1.0
36,0.9441474916,1.39,0.0,33.96304499,10,1.0,0.0,0.0,11521.657083819897,1.0
37,0.6001320923,1.452,0.0,35.65042079,10,-0.0,0.0,0.0,11521.657083819897,1.0
38,0.6290575912,1.422,0.0,41.11593506,10,-0.0,0.0,0.0,11521.657083819897,1.0
39,0.01374184978,1.222,7.04,46.23695089,10,0.0,0.0,0.0,11521.657083819897,1.0
40,0.521540439,0.99,36.99,38.79773349,10,0.03154043900000003,0.0,1.1666808386100012,11522.823764658508,1.0
41,0.9547733056,0.718,35.23,4.843105563,10,0.7367733056,0.0,25.956523556287998,11548.780288214795,1.0
42,0.322260489,0.416,42.35,48.5047084,10,0.406260489,0.0,17.205131709150002,11565.985419923945,1.0
43,0.2613917345,0.104,42.14,17.99343059,10,0.6573917345,0.0,27.70248769183,11593.687907615775,1.0
44,0.7152632212,0.0,43.35,23.64782365,10,1.2152632211999999,0.0,52.681660639019995,11646.369568254795,1.0
45,0.3819447913,0.0,46.62,44.26440811,10,0.8819447913,0.0,41.116266170406,11687.4858344252,1.0
46,0.4349672427,0.0,46.81,43.20748033,10,0.9349672427,0.0,43.765816630787,11731.251651055987,1.0
47,0.9615970648,0.0,47.28,32.11850166,10,1.4615970647999998,0.0,69.104309223744,11800.35596027973,1.0
48,0.1844616858,0.0,10.41,24.11642826,10,0.6844616858,0.0,7.125246149178,11807.481206428909,1.0
49,0.5015535672,0.0,41.57,10.49225392,10,1.0015535672,0.0,41.634581788504,11849.115788217414,1.0
50,0.09706679572,0.0,7.12,2.892607663,10,0.59706679572,0.0,4.2511155855264,11853.36690380294,1.0
51,0.658175223,0.0,11.18,47.64786039,10,1.158175223,0.0,12.94839899314,11866.31530279608,1.0
52,0.1034987737,0.0,0.0,44.14379894,10,1.0,0.0,0.0,11866.31530279608,1.0
53,0.3211922378,0.0,0.0,15.57825382,10,1.0,0.0,0.0,11866.31530279608,1.0
54,0.6890846289,0.0,0.0,28.82828805,10,2.0,0.0,0.0,11866.31530279608,1.0
