Hour,Energy Needed,Solar Energy Generated,Energy Purchased,Energy Cost at Hour,Hydrogen Needed,Hydrogen Purchased,Hydrogen Cost at Hour,Total Cost at Hour,Total Cost
22,0.8021656578,0.0,0.8021656578,24.05,1.124799235,0.0,10,19.292084070090002,17606.275395739107
23,0.5705690284,0.0,0.5705690284,23.77,17.56014834,0.0,10,13.562425805068,17619.837821544173
24,0.4436933638,0.0,0.4436933638,24.02,13.89371983,0.0,10,10.657514598476,17630.49533614265
25,0.5132155918,0.0,0.5132155918,44.07,37.29865677,0.0,10,22.617411130626,17653.112747273273
26,0.8406939256,0.0,0.8406939256,45.39,21.94434165,0.0,10,38.159097282984,17691.271844556257
27,0.1174517514,0.0,0.1174517514,0.0,2.807680925,0.0,10,0.0,17691.271844556257
28,0.06297984072,0.0,0.06297984072,0.0,12.00322256,0.0,10,0.0,17691.271844556257
29,0.3038745851,0.0,0.3038745851,0.0,12.48372975,0.0,10,0.0,17691.271844556257
30,0.2383313131,0.0,0.2383313131,46.55,3.189553994,0.0,10,11.094322624804999,17702.366167181062
31,0.632891047,0.0072,0.625691047,46.09,36.0766302,0.0,10,28.83810035623,17731.204267537294
32,0.3676099715,0.28559999999999997,0.08200997150000006,46.05,16.93962092,0.0,10,3.7765591875750024,17734.98082672487
33,0.2289399126,0.7512,0.0,46.23,16.02214234,0.0,10,0.0,17734.98082672487
34,0.2568335579,1.1712,0.0,61.53,5.280232407,0.0,10,0.0,17734.98082672487
35,0.2498921635,1.4784,0.0,0.0,35.94161911,0.0,10,0.0,17734.98082672487
36,0.9441474916,1.668,0.0,0.0,33.96304499,0.0,10,0.0,17734.98082672487
37,0.6001320923,1.7424,0.0,0.0,35.65042079,0.0,10,0.0,17734.98082672487
38,0.6290575912,1.7064,0.0,0.0,41.11593506,0.0,10,0.0,17734.98082672487
39,0.01374184978,1.4664,0.0,7.04,46.23695089,0.0,10,0.0,17734.98082672487
40,0.521540439,1.188,0.0,36.99,38.79773349,0.0,10,0.0,17734.98082672487
41,0.9547733056,0.8615999999999999,0.09317330560000003,35.23,4.843105563,0.0,10,3.282495556288001,17738.263322281156
42,0.322260489,0.4992,0.0,42.35,48.5047084,0.0,10,0.0,17738.263322281156
43,0.2613917345,0.1248,0.13659173449999998,42.14,17.99343059,0.0,10,5.755975691829999,17744.019297972987
44,0.7152632212,0.0,0.7152632212,43.35,23.64782365,0.0,10,31.006660639019998,17775.02595861201
45,0.3819447913,0.0,0.3819447913,46.62,44.26440811,0.0,10,17.806266170405998,17792.832224782414
46,0.4349672427,0.0,0.4349672427,46.81,43.20748033,0.0,10,20.360816630787,17813.1930414132
47,0.9615970648,0.0,0.9615970648,47.28,32.11850166,0.0,10,45.464309223743996,17858.657350636946
48,0.1844616858,0.0,0.1844616858,10.41,24.11642826,0.0,10,1.920246149178,17860.577596786123
49,0.5015535672,0.0,0.5015535672,41.57,10.49225392,0.0,10,20.849581788504,17881.427178574628
50,0.09706679572,0.0,0.09706679572,7.12,2.892607663,0.0,10,0.6911155855264001,17882.118294160155
51,0.658175223,0.0,0.658175223,11.18,47.64786039,0.0,10,7.35839899314,17889.476693153294
52,0.1034987737,0.0,0.1034987737,0.0,44.14379894,0.0,10,0.0,17889.476693153294
53,0.3211922378,0.0,0.3211922378,0.0,15.57825382,0.0,10,0.0,17889.476693153294
54,0.6890846289,0.0,0.6890846289,0.0,28.82828805,0.0,10,0.0,17889.476693153294
55,0.01910017912,0.0048,0.014300179120000003,11.09,21.38307564,0.0,10,0.15858898644080002,17889.635282139734
56,0.1862128014,0.2808,0.0,10.76,24.64478414,0.0,10,0.0,17889.635282139734
57,0.07165294277,0.732,0.0,10.57,5.274714425,0.0,10,0.0,17889.635282139734
58,0.1741196095,1.152,0.0,7.89,5.236216333,0.0,10,0.0,17889.635282139734
59,0.6357505452,1.4711999999999998,0.0,7.07,44.7785598,0.0,10,0.0,17889.635282139734
60,0.3693637856,1.6703999999999999,0.0,0.0,31.65280787,0.0,10,0.0,17889.635282139734
61,0.7791822565,1.7568,0.0,0.0,22.08987284,0.0,10,0.0,17889.635282139734
62,0.844721818,1.7375999999999998,0.0,0.0,25.88811259,0.0,10,0.0,17889.635282139734
63,0.6394802687,1.6056000000000001,0.0,0.0,33.05255183,0.0,10,0.0,17889.635282139734
64,0.6611581616,1.3583999999999998,0.0,7.05,21.46697999,0.0,10,0.0,17889.635282139734
65,0.7710409419,1.0031999999999999,0.0,0.0,31.72515621,0.0,10,0.0,17889.635282139734
66,0.3270265864,0.5592,0.0,10.88,33.74741522,0.0,10,0.0,17889.635282139734
67,0.9067829169,0.12719999999999998,0.7795829169,0.0,29.67061724,0.0,10,0.0,17889.635282139734
68,0.5914053733,0.0,0.5914053733,11.58,23.55095297,0.0,10,6.848474222814,17896.483756362548
69,0.5306586696,0.0,0.5306586696,11.19,7.903276907,0.0,10,5.938070512823999,17902.421826875372
70,0.2557500357,0.0,0.2557500357,7.32,22.24164355,0.0,10,1.872090261324,17904.293917136696
71,0.1096716427,0.0,0.1096716427,7.38,6.586484521,0.0,10,0.809376723126,17905.103293859822
72,0.1617748104,0.0,0.1617748104,7.08,16.74657289,0.0,10,1.145365657632,17906.248659517452
