Hour,Energy Needed,Solar Energy Generated,Hourly Electricity Purchase (MWh),Energy Cost at Hour,Hydrogen Needed,Hydrogen Stored,Hourly Hydrogen Purchase (kg),Hydrogen Cost at Hour,Charge in the Battery at Hour,Total Cost at Hour,Total Cost ($)
46,0.4349672427,0.0,0.4349672427,46.81,43.20748033,0.0,0.0,10,0.5,20.360816630787,17761.178017269165
47,0.9615970648,0.0,0.46159706479999996,47.28,32.11850166,0.0,0.0,10,0.0,21.824309223744,17783.002326492908
48,0.1844616858,0.0,0.6844616858,10.41,24.11642826,0.0,0.0,10,0.5,7.125246149178,17790.127572642086
49,0.5015535672,0.0,0.0015535671999999945,41.57,10.49225392,0.0,0.0,10,0.0,0.06458178850399977,17790.19215443059
50,0.09706679572,0.0,0.59706679572,7.12,2.892607663,0.0,0.0,10,0.5,4.2511155855264,17794.44327001612
51,0.658175223,0.0,0.15817522299999998,11.18,47.64786039,0.0,0.0,10,0.0,1.7683989931399997,17796.21166900926
52,0.1034987737,0.0,0.1034987737,0.0,44.14379894,0.0,0.0,10,0.0,0.0,17796.21166900926
53,0.3211922378,0.0,0.3211922378,0.0,15.57825382,0.0,0.0,10,0.0,0.0,17796.21166900926
54,0.6890846289,0.0,1.1890846288999999,0.0,28.82828805,0.0,0.0,10,0.5,0.0,17796.21166900926
55,0.01910017912,0.002,0.0,11.09,21.38307564,0.0,0.0,10,0.0,0.0,17796.21166900926
56,0.1862128014,0.117,0.0,10.76,24.64478414,0.0,0.0,10,0.0,0.0,17796.21166900926
57,0.07165294277,0.305,0.0,10.57,5.274714425,0.0,0.0,10,0.0,0.0,17796.21166900926
58,0.1741196095,0.48,0.0,7.89,5.236216333,0.0,0.0,10,0.0,0.0,17796.21166900926
59,0.6357505452,0.613,0.0,7.07,44.7785598,0.0,0.0,10,0.0,0.0,17796.21166900926
60,0.3693637856,0.696,0.0,0.0,31.65280787,0.0,0.0,10,0.0,0.0,17796.21166900926
61,0.7791822565,0.732,0.0,0.0,22.08987284,0.0,0.0,10,0.0,0.0,17796.21166900926
62,0.844721818,0.724,0.0,0.0,25.88811259,0.0,0.0,10,0.0,0.0,17796.21166900926
63,0.6394802687,0.669,0.0,0.0,33.05255183,0.0,0.0,10,0.5,0.0,17796.21166900926
64,0.6611581616,0.566,0.0,7.05,21.46697999,0.0,0.0,10,0.0,0.0,17796.21166900926
65,0.7710409419,0.418,0.4350409419000001,0.0,31.72515621,0.0,0.0,10,0.5,0.0,17796.21166900926
66,0.3270265864,0.233,0.0,10.88,33.74741522,0.0,0.0,10,0.0,0.0,17796.21166900926
67,0.9067829169,0.053,1.3007829169,0.0,29.67061724,0.0,0.0,10,0.5,0.0,17796.21166900926
68,0.5914053733,0.0,0.09140537329999998,11.58,23.55095297,0.0,0.0,10,0.0,1.0584742228139998,17797.270143232072
69,0.5306586696,0.0,0.5306586696,11.19,7.903276907,0.0,0.0,10,0.0,5.938070512823999,17803.208213744896
70,0.2557500357,0.0,0.3654216784,7.32,22.24164355,0.0,0.0,10,0.1096716427,2.674886685888,17805.883100430783
71,0.1096716427,0.0,0.0,7.38,6.586484521,0.0,0.0,10,0.0,0.0,17805.883100430783
72,0.1617748104,0.0,0.1617748104,7.08,16.74657289,0.0,0.0,10,0.0,1.145365657632,17807.028466088414
